id,category,question,answer,steps,tokens,seconds,tools_used,auto_pass,notes
1,tool-single,What are my four VLANs and their subnets?,"Your home network is split into four VLANs with the following subnets:

| VLAN | Name   | Subnet          | Purpose |
|------|--------|-----------------|---------|
| 10   | trusted| 192.168.10.0/24 | laptops, desktop, NAS |
| 20   | iot    | 192.168.20.0/24 | thermostat, cameras, smart plugs |
| 30   | guest  | 192.168.30.0/24 | visitors; internet only |
| 40   | lab    | 192.168.40.0/24 | VMs, test boxes, anything I might break |

Source: *2026‑06‑10‑vlan‑plan.md*",3,3598,16.4,search_notes read_note,True,
2,tool-single,How much did the 2 TB NVMe cost?,The 2 TB NVMe was bought for **$149** (on sale).【2026‑07‑02‑ssd‑purchase.md】,3,3523,2.66,search_notes read_note,True,
3,tool-single,What was the UPS runtime to 20% battery?,"The UPS ran to 20 % battery in **34 minutes** (the NAS shut down cleanly at 15 %).  
(See 2026‑08‑04‑ups‑runtime‑test.md)",3,3318,2.99,search_notes read_note,True,
4,tool-single,Which three files did I restore in the August restore drill?,"You restored three files in the August drill:

1. A 2019 photo  
2. A tax PDF from 2023  
3. The home network diagram  

All three were restored successfully with matching checksums.  
*Source: 2026‑08‑11‑backup‑restore‑drill‑august.md*",3,3534,3.45,search_notes read_note,True,
5,tool-single,What did the second exhaust fan do to my GPU temperature?,"The second exhaust fan lowered the GPU temperature from **71 °C to 67 °C** during a 30‑minute stress test.  

*Source: 2026‑09‑14‑second‑exhaust‑fan.md*",3,3462,3.47,search_notes read_note,True,
6,tool-single,Which Pi-hole blocklists am I using?,"I’m using the following blocklists on Pi‑hole:

- **StevenBlack Unified** (base list)  
- **OISD Small**  

And I keep a short personal allowlist that includes the smart‑TV telemetry domain (also the app‑store host) and the thermostat’s cloud endpoint.  

These lists block about 18‑22 % of queries while keeping TV apps and other services working fine.  
(From *2026‑07‑12‑pihole‑blocklists.md*)",3,3437,4.17,search_notes read_note,True,
7,tool-single,What is my log retention for the Pi-hole query log?,Your Pi‑hole query log is kept for **7 days**.  (See 2026‑08‑25‑log‑retention‑home.md.),3,3389,2.82,search_notes read_note,True,
8,tool-single,Where did I decide secrets should go in Power Automate flows?,"I decided that secrets should **never be in the flow definition**. The preferred places are:

1. **Connection references** – the credential lives in the connection, not the flow.  
2. **Environment variables of type secret backed by a Key Vault** – useful for API keys that a connector can’t hold.  

Anything else is a smell, and you should enable “secure inputs/outputs” on actions that handle tokens so they don’t appear in plain text in run history.  
*Reference: 2026‑08‑20‑power‑automate‑secrets.md*",3,3441,4.55,search_notes read_note,True,
9,tool-single,What hydration did sourdough attempt 3 use?,Sourdough attempt 3 used **78 % hydration**【2026-06-21-sourdough-attempt-3.md】.,3,2898,2.79,search_notes read_note,True,
10,tool-single,What is the Do-until gotcha I wrote about?,"You wrote that the **Do‑until** loop in Power Automate stops when *either* its count limit (default 60) or its timeout (default PT1H) is reached, and it simply exits without failing. As a result, if the success condition is never met you end up with 60 empty iterations and the flow still reports success. The fix you noted was to add a Condition after the loop to check why it exited and terminate as Failed if it was not because the success condition was met, and to set a meaningful count instead of the default 60.  

*Source: 2026‑06‑25‑power‑automate‑do‑until‑gotcha.md*",3,3286,5.59,search_notes read_note,True,
11,tool-multi,What did I say about backups in August?,"In August I ran a restore drill from the off‑site Restic repository.  
I chose a 2019 photo, a 2023 tax PDF, and the home‑network diagram; all three restored successfully and their checksums matched.  
The restore of the three files took 2 min 50 s (including repository unlock).  
I also verified that the nightly local rsync snapshots exist for every day in July – they do – and that the July snapshot folder is 41 GB total (≈6 GB of actual changed data).  
Finally, I added the GlassBox project folder to the nightly rsync include list.  

*Source: 2026‑08‑11‑backup‑restore‑drill‑august.md*",3,3549,5.17,search_notes read_note,True,
12,tool-multi,How did my desktop thermals change between August and September?,"In August the stress‑test temperatures were:

- GPU: 71 °C  
- CPU: 82 °C  
- NVMe (F:): 64 °C【2026-08-15-desktop-thermals.md】

After installing a second exhaust fan, the September re‑test showed:

- GPU: 67 °C (↓ 4 °C)  
- CPU: 76 °C (↓ 6 °C)  
- NVMe (F:): 59 °C (↓ 5 °C)【2026-09-14-second-exhaust-fan.md】

So the desktop’s thermals improved by a few degrees across all components.",6,10715,7.6,search_notes read_note search_notes search_notes read_note,True,
